 SL NO.,Comment,Emotion
1366,"ভাইয়া আপনার ৫ টা মিনিট আমাকে দেবেন আমার আপানর সাথে একটু কথা আছে, আমি খুব সমস্যায় আছি",Positive
1367,সত্যি কথা আসলে পোশাক কোন মেটার নয়। নিজের গুনাগুন ও যুগ্যতা ভালো আচরণই সব।,Positive
1368,শুভ কামনা রইল সবসময়।,Positive
1369,আপনি চট্টগ্রামের গর্বপ্রতিটি জেলায় আপনার মত নেতা প্রয়োজন,Positive
1370,ভাই আপনার ভিডিও গুলো জত দেখি ততই মুগ্ধ হই আপনার দীর্ঘায়ুা কামনা করি মানব সেবায় এগিয়ে আসার জন্য,Positive
1371,আপনার শারীরিক অসুস্থতা জেনেছি এখন কি ভালো আছেন।,Positive
1372,ভাইয়া আপনার কাজ গুলো আমার অনেক ভালো লাগে আমি আপনার সাথে দেখা করতে চাই।,Positive
1373,চট্টগ্রাম মানুষ ভাগ্য অনেক ভালো।,Positive
1374,সুন্দর হওয়ার চেয়ে ভদ্র হওয়াটা বেশি জরুরি.... - কেননা সৌন্দর্যতা আল্লাহর দান.. - আর ভদ্রতা নিজের অর্জন।আর আপনি সেটাই অর্জন করছেন...,Positive
1375,আল্লাহ আপনাকে দীর্ঘ হায়াত দান করুক।,Positive
1376,প্রিয় বড় ভাই,Positive
1377,আসসালামু আলাইকুম ভাইজান আমি আপনার থেকে একটু সাহায্য চাইতে ছি,Positive
1378,"ভাই বর্তমান সময়ে একজন জনপ্রিয় আলেম আবু ত্বহা মোহাম্মদ আদনান। উনার কিরকম লেকচার সে সম্পর্কে আমার আইডিয়া কম, কিন্তু তার জনপ্রিয়তা সম্পর্কে আমরা জ্ঞাত রয়েছি।কিছুদিন ধরে তিনি নিখোঁজ রয়েছে, অর্থাৎ উনাকে গুম করা হয়েছে।। কিন্তু আইনিভাবে গুরুতর কোন পদক্ষেপ নেয়া হচ্ছে না। আপনাকে আমি মন থেকে খুব পছন্দ করি এবং আপনার কর্মের জন্য আপনাকে ভালোবাসি।আপনার মতো একজন ভালো হৃদয়ের মানুষের এ বিষয়ে মতামত কি??আপনার হৃদয়ে আলেমদের জন্য অনুভূতি কি??প্লিজ দয়া করে একটু জানাবেন।।আল্লাহ আপনাকে দীর্ঘায়ু দান করুক আমিন।।",Positive
1379,মাসায়াল্লাহ,Positive
1380,"আমি অনেক কিছু বলতে চাই আপনাকে, কিন্তু বলবো না আমার বয় ফ্রেন্ড দেখলে আমারে মারবে",Positive
1381,বড় ভাই হাজার লাল গোলাপ,Positive
1382,"একদম ঠিক কথা, সবাই ভালো থাকুন সুস্থ থাকুন এই আশা করি।",Positive
1383,ভাইয়া আপনি হলেন আসল সুপার হিরো।আপনার চিন্তা ভাবনা দেখে আমরা অনুপ্রেরিত হই।বাংলাদেশের সব জেলাতে যদি আপনার মতো একজন থাকে তাহলে আমরা একটি সুন্দর বাংলাদেশ পাবো। ইনশাআল্লাহ,Positive
1384,স্যার আমি আপনার সাথে একটু কথা বলতে চাই প্লিজ আমার সাথে একটু কথা বলেন নিচে আমার কন্টাক্ট নাম্বার,Positive
1385,"আপনার প্রতিটি কথাই গুরুত্বপূর্ণ পার্থক্য শুধু মেনে চলায়, সমাজের নিয়ম পরিবর্তন করতে হলে আগে আমাদের চিন্তাধারা পরিবর্তন করতে হবে। আমাদের চিন্তাধারা আমাদের দেশ উন্নতির অন্তরায়।।।",Positive
1386,সাব্বাশ ভাই,Positive
1387,"ভাই,কেমনআছেন",Positive
1388,"আপনার জন‍্য অনেক ভালোবাসা, স্রধ‍্যা,দোয়া রইল।আমাদের মধ‍্যবৃওদের জন্য কিছু করলে খুবই উপকৃত হব।",Positive
1389,তোমার মায়ের গর্ব আমার গর্ব বাংলাদেশের গর্ব তোমার মতো একটা সন্তান পেয়ে,Positive
1390,ভাইয়া খুব গঠণ মূলক কথা বলেছেন,Positive
1391,মা মাটির সন্তান।।।,Positive
1392,আসসালামু আলাইকুম ভাইয়া। আপনি তরুণ প্রজন্মের আইডল। আপনার কাছ থেকে আমরা অনেক কিছু শিখতে পারি। অনেক সমস্যার সমাধান পেয়ে থাকি। আপনি একজন পাবলিক ফিগার। আপনি চাইলে এই বেকার সমাজকে সাহায্যের হাত বাড়াতে পারেন। এই করোনাকালীন সময়ে আমাদের যাদের বয়স প্রায় শেষ তারা অনেক সার্কুলার থেকে বঞ্চিত হচ্ছি। সরকার কি পারেন না আমাদেরকে ২ টা বছর বাড়িয়ে দিতে। আমাদেরকে আর ২ টা বছর সুযোগ করে দিতে। করোনা আমাদেরকে অনেক কিছু শিখিয়ে দিয়েছে। আমারা সেই শিক্ষা থেকে পরিবারের জন্য কিছু করতে চাই। প্লিজ আমাদেরকে সেই সুযোগটা করে দিন।,Positive
1393,মুক্তা পানি তো নাই,Positive
1394,বাই আমি একটা কথা বলতে পারব,Positive
1395,"ভালোবাসা এবং স্যালুট ভাই, মাফিয়ার স্বর্গরাজ্যে বসবাস করেও আপনাদের দেখেই স্বপ্নদেখি আগামীর বাংলাদেশ হবে সবার, আগামীর বাংলাদেশ হবে বিশ্বের বুকে রোল মডেল। দৃষ্টান্ত স্থাপন করলেই, মানুষ চাইলে সব সম্ভব প্রমাণ করে দিলেন। আরো প্রমাণ করে দিলেন ক্ষমতা থাকলে সেটা ভালো কাজে ব্যাবহার করাযায় মানুষের মঙ্গলে, মানবতার মঙ্গলে।",Positive
1396,আপনার মত এমন নেতা যদি প্রতিটি এলাকায় থাকত তাহলে আমাদের দেশটা কতই না সুন্দর হত,Positive
1397,অামি অাপনার ফোন নাম্বারটা চাই।,Positive
1398,"আমার দেখা সেরা একটি মানুষ,আল্লাহ আপনাকে হাজার বসর বচিয়ে রাখুক ভাই,আমিন",Positive
1399,আলহামদুলিল্লাহ,Positive
1400,আল্লাহ আপনাকে কবুল করুক,Positive
1401,"ধন্যবাদ তরুণ প্রজন্মের প্রিয় নেতা একেই বলে জনসেবা, মানুষ মানুষের জন্যই, রাজনীতি পছন্দ করি না তারপরও এই রকম মানুষের জন্য মাঝে মাঝে রাজনীতি করতে মন চায় দোয়া ও ভালবাসা রইল প্রিয় ভাই🤍",Positive
1402,"ভাই আপনার প্রতি হাজারো শ্রদ্ধা ও সম্মান,শুরু টা আপনি না করলে এতো মানুষ সহযোগিতা করার সুযোগ পেতো না।।স্যালুট ভাই আপনাকে জয় হোক মানবতার",Positive
1403,"ভাই, শুভ কামনা নিরন্তর।",Positive
1404,জাযাকাল্লাহ,Positive
1405,আলহামদুলিল্লাহ্,Positive
1406,আপনি ভালো মনের একজন মানুষ ভাই আশা করি আপনি আরো বহুদুর এগিয়ে যাবেন ভাই এই আশা কামনা করি ভাই ভালোবাসা নিয়েন ভাই আর আল্লাহ যদি বাঁচায় রাখে তাহলে ভাই আমি আপনার সাথে দেখা করবো ভাই চট্টগ্রামে গিয়ে প্রিয় ভাই,Positive
1407,ভাই আল্লাহ আপনাকে নেক হায়াত দান করুক। আপনার মতো আমার খুব ইচ্ছা ছিলো গরিপ দুখির পাসে দারানো। আল্লাহ যদি আমাকে গরিপ দুখির পাসে দারানো তৌফিক দেই।আমিও একদিন দরিপ দের পাসে দারাবো। ইন্সাল্লাহ,Positive
1408,মন ভালো হয়ে গেল,Positive
1409,ভাই আমিও একদিন দেখা করবো,Positive
1410,ইনশাআল্লাহ,Positive
1411,কাজটা দারুণ হ‌য়ে‌ছে প্রিয় ভাই। স‌্যালুট আপনা‌কে।,Positive
1412,তোমাকে যতো দেখি ততো ভালো লাগে,Positive
1413,অনেক দিন পরে তোমার খোজ পেলাম,Positive
1414,ভাই কান্না করেদিলাম আপনার কথা সুনে,Positive
1415,আপনার প্রতি অফুরন্ত ভালবাসা দোয়া শুভ কামনা,Positive
1416,আপনাকে বাংলার মানুশ পদানত মন্তরি দেখতে চায় এগিয়ে জান দোয়া করি,Positive
1417,"গরুর মাংস খাওয়া হারামএস. এম নাঈম উদ্দীনঃ হেড লাইন দেখে নিশ্চয় অবাক হচ্ছেন!!! এটা আবার কি বললাম। আমরা তো সারা জীবন শুনে এসেছি শুকরের মাংস হারাম। কিন্তু এবার শুনুন গরুর মাংসও হারাম তবে সবার জন্য নয়। কাদের জন্য এই গরুর মাংস হারাম এবার তাদের কথা বলছি। যারা সত্যকে মিথ্যা আর মিথ্যাকে সত্য বানিয়ে ঘুষ নেয়, আর সেই ঘুষের টাকা দিয়ে গরুর মাংস নিয়ে গিয়ে পরিবারকে খাওয়ায় সেই গরুর মাংস হারাম।যারা টাকা লাগিয়ে সুদ নেয়। আর সেই সুদের টাকা দিয়ে যে গরুর মাংস খায় সেটাও হারাম।যারা ব্যবসায় অতিরিক্ত লাভ নেয়, আর সেই লাভের টাকা দিয়ে যারা গরুর মাংস খায় সেটাও হারাম। গরীবের ছেলেকে চাকরি দিবে বলে তার বাবার শরীরের রক্তের ফোটার টাকা চিটিংবাজি করে নিয়ে সেই টাকা দিয়ে গরুর মাংস খাওয়াটাও হারাম।কাউকে ফাঁসিয়ে জোর পূর্বক টাকা আদায় করে সেই টাকা দিয়ে আনন্দে গরুর মাংস খাওয়া হারাম।এভাবে লিখতে গেলে হারামের শেষ হবে না। তবে শুধু গরুর মাংস দিয়ে উদাহরণ দিলাম মাত্র। এসব করে গরুর মাংস না সব খাবার হারাম হয়ে যাবে। এখন প্রশ্ন থাকে আমরা কতটুকু হালাল খাচ্ছি!!!",Positive
1418,"মাশা-আল্লাহ, ভালোবাসা অবিরাম ভাই ।",Positive
1419,অসংখ্য ধন্যবাদ।ফারাজ ভাই।,Positive
1420,"ফারাজ করিম চৌধুরী ভাইয়ের দৃষ্টি আর্কষন করছি.আমাদের নানা বাড়ি গত ছয় মাস যাবত জমি সংক্রান্ত বিষয় নিয়ে হোমকি দামকি দিয়ে জমি জমি দখল নিয়েছে। তারা খমতা,ও শক্তির বয় দেয়ি থাকে প্ররায় প্রারাই, আমরা বিচার শালিস করলেও কিছুদিন পর আবার সেই আগের অস্বাই বরং আরো হোমকি দেয়.. এলাকার মানুষ তাদের কে কিছু বলতে পারে না ভয়ে.. এটা জদি সুসটু সমাদান হত তাহোলে এলাকার মানুষ সহ উপক্রিত হতো। ভাই আসা করি আপনি আসবেন যার জমি জাচাই বাচাই করে তার হাতে আপনি ভোজিয়ে দিবেন।... 01600134937",Positive
1421,"ভালোবাসা , ভালোবাসা হৃদয় থেকে অনেক ভালোবাসা তোমার ( আপনি )(অতি আবেগে) জন্য ....",Positive
1422,মাশাআল্লাহ খুব দারুন কাজ! দারুন উদ্যোগ! আপনার মতো যদি বাংলাদেশের অন্যান্য ছোট থেকে শুরু করে বড় বড় রাজনীতিবিদরা এইরকম ভাবে কাজ করা শুরু করে! মনে এমন বাংলাদেশকে এগিয়ে নিয়ে যাওয়ার নেক পরিকল্পনা থাকে ইনশাআল্লাহ খুব দ্রুত বাংলাদেশ অন্যান্য বড় বড় দেশ এর কাতারে রূপান্তরিত হবে ইনশাআল্লাহ।,Positive
1423,ভাই তোমার মত মানুষ হইলে মনে হয় এ আমাদের প্রান প্রিয় দেশ টা মক্কা নগরি হয়ে যেতো প্রিয় ভাই কুমিল্লা থেকে ভালোবাসা রইলো তোমার জন্য,Positive
1424,ভাইয়া আপনার সাথে আমি সব সময় থাকতে চাই ভাইয়া। এবং সিকিউরিটি হয়ে সারাজীবন আমি থাকগে চাই ভাইয়া,Positive
1425,থাকতে চাই ভাইয়া,Positive
1426,আল্লাহ আপনাকে আরো ভাল কাজে এগিয়ে নিয়ে যাক।,Positive
1427,"আপনার প্রতি আরও সম্মান বেড়ে গেল ধন্যবাদ ভাই আপনাকে,,,",Positive
1428,বাংলাদেশের ৪জনের ভিতর আপনি ১জন,Positive
1429,আল্লাহ আপনার নেক হায়াত বৃদ্ধি করুন,Positive
1430,অসংখ্য ধন্যবাদ আপনাকে,Positive
1431,ভালোবাসি ভাই,Positive
1432,প্রিয় ভাই শুভ কামনা,Positive
1433,"আগে আর পরের কি আছে,,, আপনার সব কাজ গুলোই তো খুব ভালো সমাজের জন্য।",Positive
1434,ভাল লাগল,Positive
1435,ভাই একদিন আপনার সাথে দেখা করতে চাই।,Positive
1436,সেরাদের সেরা বস আপনি,Positive
1437,ভালো লাগে,Positive
1438,আরও সুন্দর হতো সবাই যদি মাক্স পড়তো,Positive
1439,আপনে আমাদের এলাকাই আসবেন,Positive
1440,ধন্যবাদ জানাই আপনাকে ভাইয়া,Positive
1441,"ভাই, আমি ও আপনার সাথে একমত",Positive
1442,আলহমদুলিল্লাহ ! অসাধারণ উদ্যোগ রেস্টুরেন্ট এর এমনি প্রতিটা জায়গায় একটা নিদ্রিষ্ট স্থান করা হোক নামাজ আদায় করার জন্য,Positive
1443,এ ধরনের মানুষ যতদিন বেচে থাকবে মানুষ/সমাজ/দেশের মঙ্গল হবে ।,Positive
1444,ভাই আপনার মতো যদি একজন মানুষ আমাদের রাজশাহী মহনগরীতে পেতাম তাহলে হয়তো আজ যুবসমাজকে মাদক থেকে সরিয়ে রাখতে সমভাব ভাই আপনার জন্য অনেক অনেক দুআ ও শুভকামনা রইলো ভাই,Positive
1445,"ভাই,,,নও মুসলিম ফারুক ত্রিপুরা হত্যা নিয়ে আপনার একটা ভুমিকা আশা করি",Positive
1446,"মাশাআল্লাহ আল্লাহ আপনাকে নেক হায়াত দান করুক,,,",Positive
1447,"জ্বি বড় ভাই নেতা যদি সব গুলা আপনার মত হতে পারতো,, দেশে শান্তি নিরাপ্তার কোনো গার্তি হত না,মহান রব শান্তি দাতা কিন্তো সেই শান্তি আমাদের কর্মের উপড়ে ঐ তৌরী হবে।",Positive
1448,নিজেরা দাওয়াত করে ইন্ডিয়ান দের আনবেন। আবার সচেতন থাকতে বলেন কিভাবে?,Positive
1449,আপনিও সাবধানে থাকুন নেতা।,Positive
1450,কুমড়োর ফুলে ফুলেনুইয়ে পড়েছে লতাটা,Positive
1451,আওয়ামীলীগ সাধারন সম্পাদকের ছোট ভাইয়ের বিশৃঙ্খলায় তার নির্বাচনী এলাকায় আওয়ামীলীগের প্রতিপক্ষ আওয়ামীলীগ দেখার কেউ নাই!,Positive
1452,সকল মাসুদ দের উদ্দেশ্যে বলছি ভালো হয়ে যাও। আমরা করোনার চেয়ে শক্তিশালী মানে আমাদের মনোবল করোনার চেয়ে শক্তিশালী।,Positive
1453,আমরা করোনার চাইতে শক্তিশালী,Positive
1454,"মাদারচোদ তুই থাকতে আমাদের করোনা কেমনে ধরে বাইচুদ কাদের ষ্যাড়,",Positive
1455,ভাঙ্গাচোরা সিটিং বাস উঠিয়ে সরকার নিয়ন্ত্রিত এসিযুক্ত পাবলিক ট্রান্সপোর্ট অতিশীঘ্র নামান। সাধারণ মানুষকে বাঁচতে দিন।,Positive
1456,অনতিবিলম্বে শিক্ষা প্রতিষ্ঠান খুলে দিন। ছাএ-ছাএী দের জীবন রক্ষা করুন প্লিজ।,Positive
1457,দামে কম মানে ভালো ইন্ডিয়ান জিনিস,Positive
1458,স্যার আপনার দোয়া চাই,Positive
1459,আমরা তো করোনার থেকেও শক্তিশালী। আমাদের কিছু হবে না,Positive
1460,আমরা করোনার চেয়ে ছক্তি শালি,Positive
1461,সমস্যা নাই আমরা করোনার চেয়ে শক্তিশালী,Positive
1462,আমরা করোনার চেয়ে ও শক্তিশালী,Positive
1463,আপনিও সাবধানে থাকুন নেতা।,Positive
1464,আওয়ামিলীগ সব ভাইরাসের থেকে শক্তিশালী,Positive
1465,এইচ আমীম,Positive
1466,আরে কাকা তুমি না করোনার চেয়েও বেশী শক্তিশালী?এগ্লা কি বলো শিট্!,Positive
1467,বাহ! আমরাতো করোনার চেয়ে শক্তিশালী ছিলাম? আপনার ভাষ্যমতে এখন?,Positive
1468,আপনি বেচেঁ থাকলে আমিও বেচেঁ থাকবো কাকু,Positive
1469,আমরা করোনার চেয়েও শক্তিশালী,Positive
1470,আমরা সবাই করোনার চেয়ে শক্তিশালী,Positive
1471,কাকা আপনেরা না করোনার চাইতেও শক্তিশালী?,Positive
1472,খুব উপকার হলো,Positive
1473,চারপাশে ললনা ভয় পায়না করোনা,Positive
1474,আমরা করোনার চেয়েও শক্তিশালী,Positive
1475,এতোদিন পর কী বলে,Positive
1476,"হাজী বাদশা মিয়া রোড, মাতুয়াইল, ডেমরা, ঢাকা দক্ষিণ সিটি করপোরেশনের,ঢাকা-১৩৬১(তামিরুল মিল্লাত মহিলা মাদ্রাসা থেকে ভুট্টু চত্তর) দীর্ঘ ২ কিলোমিটার পথ পর্যন্ত সরকারী রাস্তায় কোন প্রকার ড্রেনেজ ব্যবস্থা নাই।এলাকাবাসী এর পক্ষ থেকে জরুরী ভিত্তিতে প্রয়োজনীয় ব্যাবস্থা গ্রহন করার বিনীত অনুরোধ জানাচ্ছি।",Positive
1477,স্যার স্বতন্ত্র ইবতেদায়ী মাদ্রাসা বেতন চাই,Positive
1478,"৭ বছর বয়সী রংপুর জেলা ছাত্রলীগের নতুন কমিটি চাই, শত-শত কর্মীর আর্তনাদ ছাত্রলীগকে বাঁচান।",Positive
1479,"আসসালামুয়ালাইকুম, মাননীয় মন্ত্রী মহোদয়।ড্রাইভিং লাইসেন্সের জন্য ২ বছর ধরে অপেক্ষায় আছি‌। কবে লাইসেন্স প্রদান করবেন। বলবেন প্লিজ",Positive
1480,"সব পোস্টে হাসাহাসি করলেও এটা সিরিয়াস, সবাই যেন সাবধানে থাকি।",Positive
1481,আমরা করোনার চেয়ে শক্তিশালী,Positive
1482,ইন্ডিয়া আমাদের পরম বন্ধু ইন্ডিয়ার ভাইরাস ও আমাদের বন্ধুর মতো সমস্যা নেই ষ্যাড়,Positive
1483,বোকা লোক পাগল ছাগল লোক,Positive
1484,স্যারের সাথে কিভাবে যোগাযোগ করা যাবে কেউ কি একটু হেল্প করতে পারবেন,Positive
1485,"লাশের স্তুপ করোনায় হবে না, দুর্ভিক্ষে হবেকরোনার নামে একটি গোষ্ঠী যেভাবে একের পর এক লকডাউন দিচ্ছে, এটা ঠাণ্ডা মাথায় খুন বলতে হবে। মানুষের বাসায় ভাত নেই, নেই চাকুরী, নেই চিকিৎসা। তারা আছে করোনা নিয়ে। মনে হচ্ছে দুনিয়ার একমাত্র সমস্যা ‘করোনা’। প্রথম দিকে, অনেকে তাদের কাজে সায় দিয়েছিলেন এই ভেবে, দুই-দিন সপ্তাহ পর বোধ হয় এই স্থবিরতা শেষ হয়ে যাবে। কিন্তু এখন দেখা যাচ্ছে দুই-দিন বছরে তাদের বানানো এই সমস্যা শেষ হবার নয়। তারা নিজেদের সব কিছু খুলে রাখে, তারা বেতন পায়, বোনাস পায়। কিন্তু দরিদ্র ও মধ্যবিত্ত শ্রেনীর দিকে খেয়াল নেই। তারা মরলো না বাচলো, সেটা তাদের গোনার বিষয় না। দরিদ্র ও মধ্যবিত্তশ্রেনীকে তারা ঘরের ভেতর আটকে, কাজ বন্ধ করে মারতে চায়। তাদের বাসায় ভাত আছে কি, নেই সেটা তাদের দেখার বিষয় না। চলাচল বন্ধ করে মানুষকে নিদারুন কষ্ট দেয়। মানুষ আটকে রাখার পেছনে তাদের অনেকের অনেক গোপন উদ্দেশ্য আছে, সেটা অনেকেই এখন অনুমান করতে পারেন।ছবিতে দেখতে পাচ্ছেন, লাশের স্তুপ। এই লাশের স্তুপ ইউক্রেনের দুর্ভিক্ষের, ১৯৩২-৩৩ সালের ঘটনা। ইতিহাসে এ দুর্ভিক্ষ হলোদোমোর বলে পরিচিত। এই দুর্ভিক্ষকে মানব সৃষ্টি দুর্ভিক্ষ বা গণহত্যা বলা হয়। যার জন্য দায়ী সোভিয়েত শাসক স্ট্যালিন। এ কৃত্তিম দুর্ভিক্ষে ১ কোটি মানুষ মারা যায়। দুর্ভিক্ষের কারণ স্ট্যালিনের রাজনৈতিক ক্ষমতা শক্তিশালী ও পাকাপোক্ত করা। এজন্য সে ইউক্রেনাবাসীর খাদ্য কেড়ে নেয়, ফসল চাষ করতে বাধা দেয় এবং সীমান্ত আটকে দেয়। অনেকটা বর্তমানে লকডাউনের মত। কেউ কাজও করতে পারবে না, খাবারও পাবে না, আবার বাইরেও যেতে পারবে না। এতে ঐ এলাকায় প্রায় ১ কোটি মানুষ দুর্ভিক্ষে মারা যায়। সে সময় ক্ষুধার জ্বালায় অনেকে মৃত মানুষের মাংশ খাওয়া শুরু করে। অনেকে নিজেদের মল-মুত্র পর্যন্ত খায়। যদিও তাতে তাদের শেষ রক্ষা হয় না। আপনারা যে যাই মনে করেন, শাটডাউন-লকডাউনের নামে আপনাদের সে দিকেই নিয়ে যাওয়া হচ্ছে। পুরোটাই ঠাণ্ডা মাথায় খুন। সমাজের দরিদ্র ও মধ্যবিত্ত শ্রেণীকে শেষ করে দেয়া। তারা তাদের অপকর্মকে জাস্টিফাই করতে অনেক ব্যাখ্যা-বিশ্লেষণ দাড় করাবে, কিন্তু পুরোটাই ভুয়া। তাদের উদ্দেশ্য যদি মানব রক্ষা হয়, তবে করোনা ছাড়াও অনেক সমস্যা আছে, সেদিকে তারা চোখ দিতো। কিন্তু তারা দেয় না। তাদের উদ্দেশ্য যদি ভালো হতো, তবে তারা নিজেদেরও বন্দি রাখতো, কিন্তু সেটা তারা রাখে না। তাদের সব কিছু চলবে, বন্ধ শুধু সাধারণ জনগণ। ভুল বুঝিয়ে জনগণকে দুর্ভিক্ষের দিকে ঢেলে দেয়া হচ্ছে। এর বিরুদ্ধে প্রতিবাদ করুণ, রাস্তায় নামুন। নয়ত এমন লাশের স্তুপে আপনি ও আপনার পরিবারকে দেখতে পাবেন, কয়েকদিন পর।",Positive
1486,আপনার সাথে আমার কিছু কথা ছিলো একটু ইনবক্সে আসেন,Positive
1487,আপনার ফটোগ্রাফাররে পাইলে আমি ও আপনার মতো পোস মাইরা সুন্দর ফটো আপলোড দিতাম,Positive
1488,স্যার আপনার শতেক ছবি দেখবো বলে দীর্ঘ অপেক্ষাতে থাকি। আপনি এতো অল্প ছবি দিলে মনটা ভীষণ খারাপ হয়ে যায় যে।,Positive
1489,কাকা মাসুদের খবর কি।সেকি ভালো হয়েছে?নাকি এখনো আপনাকে বিরক্ত করে?,Positive
1490,আজ থেকে তোমার হোগা ডাউন শুরু,Positive
1491,"স্যার, ঘুম থেকে উঠে যা মনেহয় তাই মিডিয়ার সামনে এসে বলতে থাকেন অথচ বলা কথার উপকারিতা অপকারিতা সম্পর্কে ভাবেন নাহ। আমাদের তো আর আপনাদের মতো তালুকদারী নেই যে বাসায় বসে থাকলেই খাবার পাবো।",Positive
1492,উস্তাদ ! আপনি চেগাইয়্যা বসলেন সোনার বিচি ঝুইলা গেছে নাকি,Positive
1493,কাউয়া কাদের,Positive
1494,"আরে কাদের ভাই,",Positive
1495,সেই বন্ধু,Positive
1496,আম শুধু তোমাকে চাই,Positive
1497,অসাধারণ লাগছে স্যার,Positive
1498,"লিডার, সালাম নিবেন।আমি একজন ছাত্রলীগ কর্মী, রংপুর জেলা ছাত্রলীগের কর্মী। দীর্ঘ ৭বছর যাবত রংপুর জেলা ছাত্রলীগের কমিটি হয় না, উপজেলা পর্যায়ে সংগঠন শক্তিশালী নয়।আমাদের চাওয়া দ্রুত রংপুর জেলা ছাত্রলীগের নতুন কমিটি চাই। হারুনর রশিদ কাজলকর্মী, রংপুর জেলা ছাত্রলীগ",Positive
1499,স্যার মির্জা কাদের আইয়ের,Positive
1500,আজরাইল এতো মাইনসেরে মারেতোরে চোখে দেখেনা?,Positive
1501,"কিসের শাহরুখ আর সালমান খান, আমাদের আছে কাদের খান",Positive
1502,এত সুন্দর জায়গা পরিবেশটা ফুটে উঠেছে...,Positive
1503,অভিনন্দন নেতা,Positive
1504,এই মেঘলা দিনে একলা ঘরে রহে না তো মন,Positive
1505,মন খারাপ থাকলে আপনার ছবি দেখি মন ভালো হয়ে যায়,Positive
1506,"আর যারা একসাথে কানেও শুনেনা + কথাও বলতে পারেনা, তাদের জন্য?",Positive
1507,"এখনো আমাদের সমাজে যারা মিথ্যা কথা বলেন, আমি তাদের কে বলছি স্যার এর কাছ থেকে শিখুন কী ভাবে সত্যি বলতে হয়।।",Positive
1508,একটা জিনিস খেয়াল করলাম ভাই যারা ওনার পোস্টে বাজে মন্তব্য করে অধিকাংশ ই স্যারের আশেপাশের লোকজনের থেকে পাত্তা না পাওয়া হতাশাগ্রস্থ,Positive
1509,জয় বাংলা,Positive
1510,অনেক ভালো লাগছে। আপনার সুস্থতা ও দীর্ঘায়ু জীবন কামনা করছি। জয় বাংলা জয় বঙ্গবন্ধু।,Positive
1511,নায়ক শারুখ খান,Positive
1512,মাকস কইরে বলদা,Positive
1513,স্যার আপনার ক্যাপশন গুলো সংগ্রহ করে একটা বই লিখা যাবে।,Positive
1514,যথাসম্ভব বসুরহাটে আওমিলিগ কে একত্রিত করেন আওমিলিগ আওয়ামী লীগ ঝগড়া লেগে পরে একটা বিরোধীদলীয় রা পেয়ে যাবে জন্য কঠোর অবস্থান নিতে হবে,Positive
1515,দোয়া রইল আল্লাহ আপনাকে ভালো রাখুক প্রিয় নেতা,Positive
1516,বিচারের বানী আজ কোম্পানীগঞ্জে নিরবে নিবৃতে কাঁদে।,Positive
1517,ঈদ মোবারক,Positive
1518,ভালোবাসা অবিরাম প্রিয় স্যার,Positive
1519,আরে ভাইয়েরা এইটা স্যারের আইডি নাকি স্যারের কি আমাদের মতো খেয়ে কাম নাই ঘুমানোর সময় পায়না পেইজ বুক চালানোর সময় কই স্যারের নামে আইডি হলেই কি স্যার হয় নাকি কইযে যাই,Positive
1520,"প্রিয় নেতা,",Positive
1521,প্রিয় স্যার,Positive
1522,লিডার,Positive
1523,ঈদ মোবারক,Positive
1524,সঠিক বানান- ইদ,Positive
1525,ঈদ মোবারক ভাই,Positive
1526,আমি তো ভালো হয়ে গেছি এখন ওক্কা কবে ভালো হবে,Positive
1527,ভালোবাসার একজন মানুষ আপনার আদর্শে আদর্শিত হয়েছিদোয়া করবেন যাতে আপনার অনুসারী হয়ে থাকতে পারি,Positive
1528,আল্লাহ স্যারের নেক হায়াত দিন,Positive
1529,ঈদ মোবারক লিডার,Positive
1530,মাস্ক কই?,Positive
1531,মুখ সাদা হাত কালো মাসুদ তুমি হয়ে যাও ভালো।,Positive
1532,স্যার আমার সালাম নিবেন আশা করি ভালো আছেন আমি আপনাকে অনেক সম্মান করি এবং ভালোবাসি আপনার সব কথা গুলো গুনে অনুপ্রেরণা হয়। স্যার আমি আপনার কাছে একটা জিনিস চায়। স্যার আমার একটা চাকরি দরকার আমার পারিবারিক অবস্থা ভালো না। স্যার আপনি যদি আমার জন্য কিছু একটা করতেন আমি অনেক উপকৃত হয়তাম স্যার প্লিজ দেখবেন,Positive
1533,লিডার শুভ কামনা,Positive
1534,"কিচু কমুনা শুধু তাকিয়ে দেকমু,,,",Positive
1535,মাক্স পরুন স্বাস্থ্য বিধি মেনে চলুন,Positive
1536,ভালো হয়ে যাও তোমাকে অনেক সময় দিয়েছি,Positive
1537,গার্জিয়ান,Positive
1538,লাভ রিয়াক্ট ছাড়া অন্য কোন রিএক্ট দিলে আপনি কি মাইন্ড করবেন,Positive
1539,প্রিয় বন্ধু,Positive
1540,কাকু কি খবর ভালো তো,Positive
1541,নোয়াখালীর প্রধানমন্ত্রী প্রিয় স্যার,Positive
1542,প্রিয় নেতা বাংলাদেশের অহংকার!,Positive
1543,"আমার জীবনে কেউ নেই তুমি ছাড়া, আমার জীবনে কোনো স্বপ্ন নেই তুমি ছাড়া, আমার দুচোখ কিছু খোজেনা তোমায় ছাড়া, আমি কিছু ভাবতে পারিনা তোমায় ছাড়া , প্রাণপ্রিয় চাচ্চু ওবায়দুল কাদের চাচ্চু খুব ভালোবাসি",Positive
